                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9347,                0.65667,                0.98074,                0.98276,                0.93834,                0.97092,                0.71644,                0.99134,                0.67598,                0.97913,             0.00054478,             0.00054478,             0.00054478
                     36,                 0.9798,                0.66816,                 1.0094,                0.91439,                0.96104,                0.97029,                 0.7349,                 1.0564,                 0.7299,                0.99319,             0.00051177,             0.00051177,             0.00051177
                     37,                0.94967,                0.63064,                 1.0055,                0.97988,                0.91023,                0.97276,                0.69059,                 1.1837,                0.71811,                  1.025,             0.00047876,             0.00047876,             0.00047876
                     38,                0.95461,                0.65198,                0.98928,                0.97498,                0.96338,                  0.974,                0.72794,                 1.0146,                0.66424,                0.97541,             0.00044576,             0.00044576,             0.00044576
                     39,                0.94504,                 0.6286,                 0.9933,                0.98045,                0.96314,                  0.975,                0.74533,                0.92664,                0.69078,                0.95542,             0.00041275,             0.00041275,             0.00041275
                     40,                0.96282,                 0.6721,                  1.024,                0.97992,                0.96297,                0.97906,                0.72746,                  1.032,                0.67161,                0.98107,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.9295,                0.59369,                0.98456,                0.98197,                0.96341,                 0.9875,                 0.7181,                 1.0816,                0.64171,                0.99398,             0.00034674,             0.00034674,             0.00034674
                     42,                  0.893,                0.59403,                0.97479,                0.97967,                0.96348,                   0.99,                 0.7467,                0.99871,                0.61151,                0.96913,             0.00031373,             0.00031373,             0.00031373
                     43,                0.90428,                0.58932,                0.98753,                0.97599,                 0.9636,                0.99147,                0.73456,                 1.0152,                  0.605,                0.97077,             0.00028072,             0.00028072,             0.00028072
                     44,                0.90686,                0.62426,                 0.9846,                0.97434,                0.96405,                0.99147,                0.73235,                 1.0882,                0.60041,                0.99512,             0.00024772,             0.00024772,             0.00024772
                     45,                0.95535,                0.61315,                0.98892,                0.97374,                0.96427,                0.99313,                0.72415,                 1.0798,                0.59246,                0.99549,             0.00021471,             0.00021471,             0.00021471
                     46,                0.86846,                 0.5658,                0.96615,                0.97444,                0.96417,                0.99313,                0.74931,                0.97409,                0.59138,                0.96772,              0.0001817,              0.0001817,              0.0001817
                     47,                0.82798,                0.55096,                0.96406,                0.99652,                0.94106,                0.99147,                0.75922,                0.94843,                0.59997,                0.95975,              0.0001487,              0.0001487,              0.0001487
                     48,                0.87087,                0.56799,                0.98101,                0.99585,                0.94166,                0.98643,                0.75241,                0.95809,                0.60805,                0.96266,             0.00011569,             0.00011569,             0.00011569
                     49,                0.88766,                0.56954,                   0.97,                0.99601,                0.94113,                0.98643,                0.74483,                0.97891,                0.61174,                0.96666,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.81996,                0.54504,                0.93514,                0.97281,                0.96325,                 0.9875,                0.73976,                0.99205,                0.61372,                0.97038,             4.9677e-05,             4.9677e-05,             4.9677e-05
